donation_id,state,age,gender,donor_type,spending_on_food,entertainment
90,MI,35,F,one-time,278.94,218.23
91,MO,40,M,one-time,124.48,109.67
92,AZ,37,F,one-time,241.84,120
93,AZ,47,M,one-time,255.07,248.67
94,TX,32,F,one-time,131.86,120
95,AZ,36,M, ,331.98,265.67
96,TX,43,F,one-time,241.66,120
97,TX,29,M,recurring,162.45,156.67
98,LA,41,F,one-time,293.61,120
99,TX,29,M,one-time,303.72,240.67
100,TX,39,M,one-time,312.86,339.67
101,OK,37,M,one-time,184.04,162.67
102,LA,48,F,one-time,396.05,406.23
103,TX,42,M,one-time,242.62,220.67
104,OK,26,F, ,312.1,120
105,LA,37,M,one-time,301.83,234.67
106,LA,51,M,one-time,404.93,359.67
107,AZ,32,M,one-time,232.04,240.67
108,MI,34,F,one-time,366.06,387.23
109,AR,37,F,one-time,227.39,120
110,MI,38,F,one-time,242.41,223.23
111,AR,40,M,one-time,303.7,294.67
112,AR,53,M,one-time,241.27,244.67
113,MI,34,M,one-time,376.54,304.67
114,OK,37,M,one-time,166.08,122.67
115,TX,44,F,one-time,250.71,198.23
116,AR,33,F,one-time,207.11,196.23
117,NM,35,F,one-time,372.18,352.23
118,MI,19,F,one-time,249.62,120
119,TX,15,F,one-time,211.22,194.23
120,TX,31,M,one-time,347.43,266.67
121,AZ,35,M,one-time,372.97,329.67
122,AZ,52,M,one-time,191.71,225.67
123,MO,31,F,one-time,210.13,195.23
124,TX,27,F,one-time,341.49,120
125,AR,33,M,one-time,213.97,251.67
126,AZ,45,F,one-time,219.9,120
127,TX,34,F,one-time,321.81,120
128,LA,39,M,one-time,358.46,369.67
129,OK,56,M,recurring,281.38,242.67
130,ND,43,F,one-time,310.64,288.23
131,OK,41,M,one-time,262.14,235.67
132,NM,47,M,one-time,254.05,276.67
133,AR,34,F,one-time,316.86,356.23
134,OK,49,F,one-time,183.5,161.23
135,OK,30,M,one-time,331.37,322.67
136,MI,32,M,one-time,263.19,267.67
137,TX,40,M,one-time,250.32,272.67
138,TX,43,F,one-time,273.59,301.23
139,OK,54,F,one-time,313.16,275.23
140,SD,35,M,one-time,218,161.67
141,OK,44,M,one-time,277.49,256.67
142,TX,43,F,one-time,224.84,217.23
143,NM,41,F,one-time,244.14,174.23
144,AR,32,F,one-time,240.44,120
145,AR,30,F,one-time,312.18,352.23
146,MO,42,M,one-time,381.31,334.67
147,MO,45,M,one-time,252.19,324.67
148,MO,40, ,one-time,207.66,36
149,NM,31,M,one-time,287.52,269.67
150,MI,40,F,one-time,251.77,244.23
151,OK,28,M,one-time,367.02,334.67
152,MI,50,M,one-time,202.34,223.67
153,TX,45,M,one-time,311.67,198.67
154,LA,38,M,one-time,235.51,193.67
155,MI,41,M,recurring,220.86,213.67
156,TX,32, ,one-time,324.25,220
157,MO,55,F,one-time,203,277.23
158,MI,48,M, ,318.08,237.67
159,TX,46,F,recurring,312.98,278.23
160,MO,30,F,one-time,269.9,120
161,LA,46,M,one-time,184.84,161.67
162,MO,59,M,one-time,257.71,212.67
163,AR,47,F,one-time,258,267.23
164,OK,37, ,one-time,353.86,237
165,AR,42,M,one-time,200.08,158.67
166,MO,43,M,one-time,226.9,268.67
167,OK,43,M,one-time,413.21,400.67
168,AZ,32,M,one-time,345.78,284.67
169,OK,17,M,one-time,358.92,310.67
170,AZ,34,F,one-time,251.54,120
171,SD,45,F,one-time,140.62,106.23
172,ND,38,M,one-time,273.53,214.67
173,OK,47,M,one-time,226.08,239.67
174,LA,15,F,one-time,387.18,120
175,AR,26,M,one-time,281.82,179.67
176,TX,36,M,one-time,345.57,296.67
177,TX,37,F,one-time,274.52,222.23
178,OK,43,F,one-time,265.98,226.23
179,OK,46,F,one-time,191.96,120
180,SD,49,M,one-time,140.41,113.67
181,LA,28,F,one-time,262.39,120
182,TX,34,F,one-time,186.17,207.23
183,OK,47,F,one-time,343.05,120
184,MO,32,M,one-time,232.84,262.67
185,NM,37,F,one-time,251.94,120
186,TX,24,F,one-time,360.77,120
187,MO,38,F,one-time,339.95,120
188,AZ,22,M,one-time,209.55,189.67
189,TX,32,M,one-time,315.56,256.67
190,LA,38,F,one-time,256.09,245.23
191,TX,36, ,one-time,273.75,175
192,OK,53,F,one-time,237.81,189.23
193,AR,42,M,one-time,354.44,313.67
194,AZ,35,M,recurring,341.77,304.67
195,TX,46,M,one-time,226.89,250.67
196,AZ,45,F,one-time,359.92,329.23
197,TX,42,M,one-time,289.46,259.67
198,TX,50,F,one-time,95.08,120.23
199,AZ,38,F,one-time,240.93,120
200,LA,35,M,one-time,194.13,131.67
201,MO,30,F,one-time,455.72,120
202,OK,26,M,one-time,324.19,272.67
203,AR,38,F,one-time,290.32,263.23
204,LA,51,F,one-time,203.31,266.23
205,TX,45,F,one-time,121.08,158.23
206,MI,31,M,one-time,263.22,246.67
207,AZ,26,F,one-time,279,243.23
208,TX,40,F,one-time,382.04,298.23
209,AR,40,M,one-time,350.82,235.67
210,AZ,53,M,one-time,196.78,181.67
211,LA,48,M,one-time,217.74,230.67
212,MI,62,F,one-time,181.5,98.23
213,MO,51,M,one-time,321.55,221.67
214,SD,29,F,one-time,321.61,120
215,AR,35, ,one-time,202.42,58
216,OK,29,F,one-time,306.2,120
217,TX,44,M,one-time,296.28,306.67
218,NM,36,F,one-time,355.67,350.23
219,TX,40,M,one-time,334.82,255.67
220,TX,36,F,one-time,360.18,120
221,TX,37,F,one-time,236.65,190.23
222,LA,52,F,one-time,189.84,218.23
223,TX,38,M,one-time,339.02,307.67
224,TX,52,F,recurring,222.61,252.23
225,OK,37,M,one-time,247.81,147.67
226,OK,38,M,one-time,237.71,201.67
227,LA,32,F,one-time,364.56,120
228,OK,45,M,one-time,324.19,243.67
229,OK,32,F,one-time,254.09,120
230,MI,33,F,one-time,274.96,120
231,TX,39,M,one-time,231.13,247.67
232,MO,46,F,one-time,276.39,120
233,SD,34,M,one-time,388.37,331.67
234,OK,44,F,one-time,335.1,120
235,LA,35,F,one-time,215.74,120
236,TX,36,M,one-time,329.99,367.67
237,TX,40,M,recurring,282.43,271.67
238,MO,20,F,one-time,316.57,311.23
239,OK,27,F,recurring,184.76,223.23
240,AZ,36,F,one-time,337.37,239.23
241,MI,43,F,recurring,160.67,162.23
242,AR,36,F,one-time,387.74,120
243,AR,43,M,one-time,338.38,287.67
244,SD,42, ,one-time,261.5,166
245,MO,40,F,recurring,278.66,262.23
246,TX,27,F,one-time,234.31,198.23
247,LA,36,M,one-time,349.66,298.67
248,MI,36,F,one-time,272.21,257.23
249,TX,31,M,one-time,236.34,235.67
250,TX,27,M,one-time,401.5,304.67
251,OK,41,M,one-time,204.36,204.67
252,TX,35,M, ,303.96,304.67
253,OK,41,M,one-time,184.12,223.67
254,ND,37,F,one-time,320.04,315.23
255,LA,24,M,one-time,301.7,231.67
256,AZ,46,F,one-time,327.41,278.23
257,AR,33,F,one-time,359.79,285.23
258,TX,22,M,one-time,103.27,157.67
259,LA,35,M,recurring,405.86,315.67
260,TX,39,F,one-time,223.17,196.23
261,TX,39,M,one-time,351.85,262.67
262,OK,37,F,recurring,378.04,274.23
263,OK,30,F,one-time,337.45,297.23
264,AZ,47,M,one-time,183.68,148.67
265,OK,43,M,recurring,320.81,298.67
266,AR,44,M,one-time,311.67,251.67
267,AR,36,M,recurring,343.3,314.67
268,OK,40,M,one-time,457.35,355.67
269,TX,36,F,one-time,331.51,243.23
270,OK,27,M,one-time,390.73,290.67
271,LA,53,M,one-time,286.15,243.67
272,AZ,41,F,recurring,344.38,351.23
273,TX,39,M,one-time,314.79,313.67
274,OK,36,F,one-time,220.22,211.23
275,MO,47,F,one-time,316.04,120
276,OK,46,F,one-time,370.65,265.23
277,TX,45,M,one-time,326.04,317.67
278,LA,32,F,one-time,299,257.23
279,OK,22,F,one-time,369.38,374.23
280,TX,28,F,one-time,401.01,359.23
281,AR,24,M,one-time,168.16,166.67
282,MI,34,M,one-time,279.81,272.67
283,TX,43,F,one-time,280.55,234.23
284,OK,22,M,one-time,246.22,229.67
285,AZ,26,M,one-time,246.27,230.67
286,TX,42,M,one-time,261.18,240.67
287,MI,42,F,recurring,409.74,120
288,MI,34,M,one-time,331.47,352.67
289,OK,41,F,one-time,294.51,120
290,TX,27,M,one-time,216.88,186.67
291,MO,49,F,one-time,229.31,280.23
292,SD,36,F,one-time,321.79,230.23
293,OK,46,M,one-time,223.78,156.67
294,TX,41,M,one-time,235.6,234.67
295,OK,48,M,one-time,319.08,190.67
296,TX,52,M,one-time,250.25,241.67
297,AR,29,M,one-time,307.62,239.67
298,TX,52,M,one-time,242.56,154.67
299,TX,36,M,one-time,198.25,258.67
300,OK,41,M,one-time,233.64,193.67
301,SD,33,M,one-time,355.9,330.67
302,MO,37,F,one-time,359.38,303.23
303,AR,18,M,one-time,366.11,276.67
304,MO,35,M,one-time,334.4,322.67
305,LA,35,M,one-time,213.34,209.67
306,TX,33,F,one-time,183.08,153.23
307,TX,39, ,one-time,237.32,189
308,LA,48,M,one-time,282,287.67
309,NM,42,M,one-time,266.47,279.67
310,AR,29,F,one-time,273.02,212.23
311,LA,48,F,one-time,381.49,120
312,OK,40,M,one-time,246.44,159.67
313,AZ,41,F,one-time,233.67,180.23
314,TX,45,M,one-time,351.07,281.67
315,TX,38,F,one-time,217.94,234.23
316,LA,39,F,one-time,243.8,260.23
317,TX,44,M,one-time,288.3,254.67
318,AZ,39,F,one-time,343.21,120
319,TX,40,F,one-time,315.6,290.23
320,OK,49,M,one-time,319.44,348.67
321,TX,30,F,one-time,216.16,203.23
322,MO,42,M,recurring,295.52,272.67
323,MI,25,M,one-time,185.87,153.67
324,LA,40,M,one-time,217.89,195.67
325,ND,44,M,one-time,292.11,247.67
326,TX,36,M,one-time,188.53,271.67
327,TX,51,M,one-time,227.05,211.67
328,SD,56,F,one-time,271.38,307.23
329,NM,22,F,one-time,288.39,226.23
330,TX,43,F,recurring,176.72,158.23
331,MO,29,M,one-time,205.2,233.67
332,LA,42, ,one-time,175.39,96
333,MI,24,F,one-time,256.67,243.23
334,TX,31,M,one-time,330.33,289.67
335,LA,41,F,one-time,246.49,167.23
336,MO,41,M,one-time,144.04,128.67
337,TX,36,M,recurring,287.64,245.67
338,SD,43,F,one-time,298.94,243.23
339,AR,47,M,one-time,182.46,178.67
340,AZ,35,M,recurring,118.84,116.67
341,TX,52,M,one-time,359.68,306.67
342,MO,45, ,one-time,213.6,124
343,TX,37,M,one-time,94.89,105.67
344,TX,42,M,one-time,257.69,175.67
345,AR,50,M,one-time,277.88,268.67
346,TX,35,F,one-time,347.51,120
347,TX,42,M,one-time,209.41,174.67
348,TX,46,F,one-time,319.8,313.23
349,LA,36,F,one-time,316.52,234.23
350,MI,39,M,one-time,268.39,292.67
351,NM,52,M,one-time,358.13,328.67
352,AZ,43,F,one-time,266.49,120
353,NM,44,F,one-time,288.67,270.23
354,OK,42,M,one-time,185.31,126.67
355,LA,42,F,one-time,280.62,120
356,OK,26,M,one-time,282.14,255.67
357,TX,37,F,one-time,271.85,299.23
358,TX,47,F,one-time,317.23,120
359,NM,43,F, ,204.7,120
360,MO,33,F,one-time,281.78,207.23
361,NM,43,F,one-time,125.6,87.23
362,TX,39,F,recurring,264.01,282.23
363,AR,35,F,one-time,338.46,286.23
364,LA,31,F,one-time,413.13,325.23
365,SD,46,M,one-time,263.08,127.67
366,AR,34, ,one-time,207.68,79
367,MO,40,M,one-time,307.79,212.67
368,LA,37,M,one-time,240.93,133.67
369,TX,42, ,one-time,109.49,61
370,AZ,31,M,one-time,246.49,219.67
371,MO,43,M,one-time,175.74,150.67
372,MO,40,F,one-time,223.55,263.23
373,TX,34,M,one-time,177.2,136.67
374,LA,45,F,one-time,162.3,145.23
375,OK,44,F,one-time,332.82,305.23
376,AR,36,F,recurring,280.03,120
377,AR,47,M,one-time,354.78,316.67
378,AR,27,F,one-time,344.02,120
379,MO,28, ,recurring,296.43,163
380,TX,43,M,one-time,294.07,271.67
381,AR,31,F,one-time,275.93,262.23
382,NM,44,M,one-time,332.04,247.67
383,AZ,43,F,one-time,353.96,357.23
384,MI,45,F,recurring,303.24,275.23
385,TX,39,F, ,410.1,393.23
386,AR,53,M,one-time,254.52,148.67
387,AZ,41,M,one-time,407.26,401.67
388,MI,35,M,one-time,297.49,224.67
389,TX,31,F,one-time,269.63,226.23
390,AZ,38,F,one-time,232.01,281.23
391,MO,50,F,one-time,379.58,120
392,TX,41,F,one-time,203.07,120
393,OK,25,M,recurring,233.94,241.67
394,TX,44,F,one-time,298.96,275.23
395,MO,38,M,one-time,168.91,172.67
396,LA,25,M,one-time,204.23,184.67
397,OK,48,M,one-time,181.76,149.67
398,OK,47,F,one-time,397.38,372.23
399,TX,31,M,one-time,342.12,364.67
400,MI,41,M,one-time,341.05,312.67
401,MI,40,M,one-time,298.55,304.67
402,AR,24,M,one-time,332.42,326.67
403,TX,35,M,one-time,149.77,150.67
404,MI,25,F,recurring,303.88,318.23
405,AR,45,F,one-time,296.29,208.23
406,OK,38,M,one-time,237,211.67
407,MO,33, ,one-time,340.95,249
408,OK,22,F,one-time,395.88,120
409,MI,49,M,one-time,183.62,155.67
410,AR,31,F,one-time,198.02,200.23
411,LA,34,F,one-time,258.96,285.23
412,TX,46,F,one-time,382.33,326.23
413,MI,55,F,one-time,245.24,223.23
414,OK,47,F,recurring,239.15,255.23
415,OK,30,F,one-time,245.38,120
416,MI,38, ,one-time,275.8,197
417,AR,29,F,one-time,381.7,120
418,TX,34,F,one-time,383.45,120
419,LA,36,F,one-time,218.77,120
420,MO,31,M,one-time,410.83,365.67
421,MO,26,F,one-time,301.24,120
422,NM,34,M,recurring,278.42,254.67
423,AR,48,F,one-time,262.62,307.23
424,AR,33,M,one-time,268.29,284.67
425,OK,36,F,one-time,213.92,165.23
426,NM,59,M,one-time,204.98,151.67
427,TX,31,F,one-time,306.81,120
428,OK,26,F,one-time,250.38,237.23
429,OK,31,F,one-time,309.54,288.23
430,MO,56,M,one-time,293.74,261.67
431,AR,40,F,one-time,225.7,256.23
432,MI,38,F,one-time,216.89,153.23
433,OK,46,M,one-time,191.98,175.67
434,NM,40,F,one-time,312.99,329.23
435,OK,41,F,one-time,396.36,120
436,TX,40,M,one-time,307.68,239.67
437,TX,30,F,one-time,199.64,120
438,TX,38,M,one-time,336.06,265.67
439,AR,43,F,recurring,283.93,262.23
440,TX,29,F,one-time,221.39,120
441,MO,52,F,one-time,162.42,120
442,LA,25,M,one-time,301.43,301.67
443,OK,28,M, ,345.96,269.67
444,NM,39,F,one-time,202.48,120
445,TX,47,F,recurring,317.18,120
446,TX,42,F,recurring,303.28,120
447,AR,41, ,one-time,362.34,280
448,OK,44,M,one-time,238.27,244.67
449,AZ,45,F,one-time,296.35,294.23
450,TX,39,M,one-time,370.25,350.67
451,NM,40,M,one-time,269.29,213.67
452,SD,31,M,one-time,338.41,338.67
453,OK,57,M,one-time,298.34,263.67
454,OK,34,M,one-time,231.37,194.67
455,SD,45,F,one-time,200.67,131.23
456,SD,43,M,recurring,143.72,143.67
457,SD,31,F,one-time,256.58,120
458,TX,49, ,one-time,323.69,201
459,NM,42,F,recurring,294.97,240.23
460,AZ,38,F,one-time,419.95,120
461,TX,41,F,recurring,301.88,120
462,AZ,41,M,one-time,214.84,166.67
463,ND,60,M,one-time,178.51,106.67
464,TX,51,F,one-time,128.19,109.23
465,AR,47,F,one-time,191.88,192.23
466,TX,22, ,one-time,183.18,117
467,AZ,40,M,one-time,315.38,276.67
468,LA,47,F,one-time,180.43,120
469,TX,33,F,one-time,200.45,120
470,TX,40,F,one-time,226.71,229.23
471,AR,40,M,recurring,240.22,226.67
472,TX,28,M,one-time,302.54,304.67
473,MO,24,F,one-time,259.86,120
474,NM,35,F,one-time,419.26,120
475,TX,24,M,one-time,292.47,298.67
476,OK,41,M,recurring,230.33,184.67
477,AR,43,M,one-time,217.56,209.67
478,MO,32,M,one-time,334.61,251.67
479,TX,53,M,one-time,178.91,171.67
480,MO,40,F,one-time,305.27,120
481,TX,28,M,one-time,203.29,162.67
482,OK,28,F,one-time,304.56,120
483,TX,40,M,one-time,312.49,309.67
484,NM,44,F,one-time,329.43,288.23
485,NM,33,F,recurring,249.71,120
486,TX,49,M,one-time,308.17,323.67
487,MO,39,M,recurring,326,269.67
488,TX,34,F,one-time,233.61,189.23
489,NM,32,F,one-time,165.33,120
490,TX,42,M,one-time,344.13,299.67
491,AR,42,F,one-time,229.75,208.23
492,SD,24,M,one-time,348.4,292.67
493,TX,39,M,one-time,232.76,229.67
494,AR,36,F,one-time,260.8,213.23
495,OK,36,M,one-time,268.15,248.67
496,AZ,39,M,one-time,181.73,104.67
497,TX,44,F,one-time,154.13,148.23
498,TX,19,F,recurring,248.95,120
499,OK,38,M,one-time,389.05,279.67
500,MI,51,F,one-time,242.94,120
501,MI,37,F,one-time,352.74,282.23
502,TX,38,F,one-time,254.34,269.23
503,LA,35,F,one-time,204.23,201.23
504,TX,30,F,one-time,469.53,120
505,TX,40,M,one-time,202.68,287.67
506,MO,43,M,one-time,241.37,174.67
507,TX,48,F,one-time,268.01,254.23
508,MO,58,M,one-time,294.67,201.67
509,MI,46,M,recurring,304.49,237.67
510,TX,37,F,one-time,326.67,120
511,NM,34,M,one-time,363.63,347.67
512,TX,27,M,one-time,384.52,287.67
513,AZ,34,F,one-time,409.68,120
514,NM,48,M,one-time,318.83,333.67
515,OK,52,F,one-time,346.81,302.23
516,TX,51,M,recurring,390.81,344.67
517,SD,43,M,one-time,307.6,318.67
518,MI,38,F, ,389.25,347.23
519,AR,46,F,recurring,330.2,334.23
520,AR,47,F,one-time,194.92,187.23
521,NM,39,F,recurring,192.04,131.23
522,MO,55,M,one-time,305.46,332.67
523,TX,37,F,one-time,376.39,368.23
524,TX,22,M,one-time,231.28,219.67
525,OK,39,F,one-time,229.12,234.23
526,AR,39,M,one-time,308.37,288.67
527,AR,34,M,one-time,325.23,319.67
528,OK,43,M,one-time,294.87,333.67
529,OK,42,F,one-time,325.64,120
530,TX,42,M, ,316.36,259.67
531,TX,34,M,one-time,176.07,192.67
532,MI,32,F,recurring,262,284.23
533,LA,40,F,one-time,306.66,273.23
534,LA,41,M,one-time,142.57,171.67
535,MO,36,M,one-time,202.57,175.67
536,TX,41, ,one-time,326.39,197
537,MO,33,F,one-time,274.53,282.23
538,TX,42,F,one-time,336.64,309.23
539,AR,46,M,recurring,216.99,185.67
540,OK,46,M,recurring,301.23,320.67
541,TX,52,M,one-time,298.46,237.67
542,NM,35,F,one-time,325.06,120
543,MI,43,M,one-time,189.66,175.67
544,TX,32,F,one-time,311.3,120
545,MO,43,M,one-time,271.02,225.67
546,TX,41,F,one-time,329.51,292.23
547,AZ,35,M,recurring,335.09,284.67
548,TX,42,M,one-time,297.79,304.67
549,AR,36,M,one-time,162.11,134.67
550,TX,37,M,one-time,373.89,327.67
551,MI,33,F,one-time,378.25,120
552,AZ,38,M,one-time,301.3,220.67
553,MI,27,F,one-time,264.25,253.23
554,AR,33,M,one-time,263.65,243.67
555,TX,44,M,one-time,313.35,265.67
556,TX,25,M,one-time,280.27,218.67
557,MI,34,M,one-time,216.85,246.67
558,TX,39,M,one-time,242.28,246.67
559,TX,38,F,one-time,274.73,226.23
560,AZ,37,M,one-time,344.74,300.67
561,OK,36,M,one-time,427.86,299.67
562,MO,37,M,one-time,177.27,147.67
563,OK,59,M,one-time,159.25,137.67
564,MO,55,M,one-time,321.17,196.67
565,MO,40,M,one-time,245.83,225.67
566,NM,19,M,one-time,235.19,165.67
567,OK,34,F,one-time,219.88,203.23
568,MI,58,F,one-time,174.8,157.23
569,OK,39,F,one-time,273.31,296.23
570,NM,43,F,one-time,293.58,297.23
571,TX,40,F,one-time,221.77,250.23
572,AZ,33,M,one-time,378.49,318.67
573,TX,47,F,one-time,263.24,230.23
574,MO,44, ,one-time,251.18,179
575,OK,40,F,one-time,392.41,120
576,MO,47,F,one-time,233.67,191.23
577,TX,36,F,recurring,241.55,212.23
578,LA,34,F,one-time,301.03,120
579,MO,39,M,one-time,242.85,163.67
580,TX,23,M,one-time,357.22,390.67
581,TX,56,F,one-time,297.09,120
582,MI,27,F,recurring,326.98,308.23
583,TX,44,F,one-time,221.65,120
584,OK,39,M,recurring,287.36,194.67
585,AZ,38,M,one-time,229.46,170.67
586,SD,29,F,one-time,239.66,226.23
587,MO,44,F,one-time,148.95,120
588,OK,46,F,one-time,289.37,309.23
589,AZ,44,F,one-time,250.32,208.23
590,TX,34,M,recurring,170.17,151.67
591,AZ,54,F,one-time,128.15,177.23
592,AR,35,F,one-time,239.98,120
593,OK,41,M,one-time,207.17,158.67
594,MO,37,M,one-time,240.31,231.67
595,LA,41,F,one-time,317.14,120
596,OK,40,F,one-time,434.85,350.23
597,TX,45,M,one-time,316.73,293.67
598,SD,34,F,one-time,246.98,120
599,AZ,29,F,one-time,332.65,345.23
600,AR,34,M,recurring,240.38,165.67
601,AR,31,F,one-time,132.85,57.23
602,AR,28,M,one-time,307,253.67
603,OK,35,F,one-time,356.24,309.23
604,TX,53,M,one-time,215.54,168.67
605,OK,21, ,one-time,283.73,198
606,OK,39,F, ,147.65,120
607,TX,42,M,one-time,226.21,217.67
608,AR,55,F,one-time,302.43,267.23
609,TX,43,F, ,229.6,248.23
610,NM,40,F,one-time,268.4,250.23
611,MI,36,F,one-time,276.76,221.23
612,TX,29,M,one-time,307.63,187.67
613,AZ,48,F,one-time,155.26,165.23
614,ND,51,F,one-time,178.68,120
615,LA,49,F,one-time,148.92,168.23
616,MI,41,M,one-time,147.02,115.67
617,AR,31,M,one-time,340.66,278.67
618,OK,41,F,one-time,202.82,120
619,SD,37,M,one-time,347.64,307.67
620,TX,49,M,one-time,285.3,332.67
621,LA,45,F,one-time,157.79,179.23
622,TX,35,M,one-time,247.79,251.67
623,MI,52,M,one-time,289.48,198.67
624,TX,31,F,one-time,240.54,168.23
625,TX,30,M,one-time,427.74,368.67
626,MI,37,M,one-time,307.09,257.67
627,SD,36,M,one-time,290.08,252.67
628,TX,42,M,one-time,296.33,240.67
629,SD,30,M,one-time,341.76,262.67
630,ND,25,F,one-time,256.07,221.23
631,AR,41,M,one-time,171.92,161.67
632,NM,42,F,one-time,217.95,120
633,TX,35,F,one-time,288.03,120
634,LA,52,M,one-time,187.75,156.67
635,TX,41,M,one-time,298.73,263.67
636,TX,29,M,one-time,278.81,290.67
637,AR,46, ,one-time,100.56,21
638,LA,40,F,one-time,247.46,200.23
639,AR,36,F,one-time,158.89,80.23
640,MI,46,M,one-time,191.36,180.67
641,TX,46,M,one-time,352.27,369.67
642,TX,28,M,recurring,223.68,208.67
643,SD,40, ,one-time,333.42,240
644,AZ,35,F,recurring,266.68,235.23
645,TX,42,M,one-time,170.74,202.67
646,TX,46,F, ,166.12,121.23
647,LA,47,M,one-time,159.96,82.67
648,LA,43,F,one-time,269.21,120
649,TX,45,M,one-time,156.4,117.67
650,TX,50,F,one-time,277.29,294.23
651,AR,31,F,one-time,286.56,226.23
652,TX,46,F,one-time,213.37,173.23
653,ND,52,M,one-time,196.45,139.67
654,OK,39,M,recurring,226.81,248.67
655,MI,33, ,one-time,230.36,209
656,AR,34,M,one-time,233.99,214.67
657,OK,39,F,one-time,373.27,345.23
658,AZ,41, ,one-time,372.54,276
659,NM,45,M,one-time,308.03,297.67
660,OK,50,M,recurring,284.2,203.67
661,AZ,47,M,one-time,221,238.67
662,MO,41,F,one-time,102.29,120
663,TX,61,F,one-time,237.88,239.23
664,TX,39,F,one-time,265.36,262.23
665,MO,43,M,one-time,222.29,208.67
666,AR,42,F,one-time,292.34,275.23
667,ND,35,M,one-time,272.4,318.67
668,TX,23,F,one-time,247.85,229.23
669,AR,35,M,one-time,352.89,260.67
670,MI,27,F,one-time,334.2,120
671,MI,41,F,one-time,288.47,283.23
672,MO,35,M,one-time,291.24,226.67
673,OK,41,M,one-time,172.84,215.67
674,AZ,38,M, ,402.12,341.67
675,TX,45,F,one-time,217.64,187.23
676,TX,45,M,one-time,237.57,216.67
